# using postmaster on localhost, port 28818
ok 1         - setup                                     147 ms
ok 2         - admin_api_v076                             18 ms
ok 3         - admin_functions                            25 ms
ok 4         - aggregates                                 27 ms
ok 5         - ask_views                                  17 ms
ok 6         - basic_crud                                 18 ms
ok 7         - bsbm                                       70 ms
ok 8         - bulk_load_strict                           21 ms
ok 9         - cache_stats                                14 ms
ok 10        - canary                                     16 ms
ok 11        - cdc_subscriptions                          19 ms
ok 12        - change_notification                        13 ms
ok 13        - citus_aggregate_pushdown                   20 ms
ok 14        - citus_graph_affinity                       13 ms
ok 15        - citus_object_pruning                       10 ms
ok 16        - citus_service_pruning                      13 ms
ok 17        - citus_sharding                             13 ms
ok 18        - citus_url_parsing                          11 ms
ok 19        - concurrent_write_merge                     39 ms
ok 20        - construct_rules                            72 ms
ok 21        - construct_views                            18 ms
ok 22        - copy_rdf_path_allowlist                    11 ms
ok 23        - crash_recovery_merge                       34 ms
ok 24        - cwb_savepoint_rollback                     30 ms
ok 25        - cwb_write_path_equivalence                 45 ms
ok 26        - datalog_agg                               126 ms
ok 27        - datalog_antijoin                           41 ms
ok 28        - datalog_arithmetic                         13 ms
ok 29        - datalog_bounded_depth                      53 ms
ok 30        - datalog_builtin_functions                  32 ms
ok 31        - datalog_constraints                        14 ms
ok 32        - datalog_cost_reorder                       61 ms
ok 33        - datalog_custom                             88 ms
ok 34        - datalog_cwb_interaction                   104 ms
ok 35        - datalog_delta_index                        63 ms
ok 36        - datalog_demand                             53 ms
ok 37        - datalog_dred                               31 ms
ok 38        - datalog_dred_cycle                        102 ms
ok 39        - datalog_explain                            23 ms
ok 40        - datalog_filter_pushdown                    46 ms
ok 41        - datalog_incremental_rules                  34 ms
ok 42        - datalog_lattice                            84 ms
ok 43        - datalog_magic_sets                        112 ms
ok 44        - datalog_malformed                          17 ms
ok 45        - datalog_maxiter                            27 ms
ok 46        - datalog_named_graph_scope                  68 ms
ok 47        - datalog_negation                           12 ms
ok 48        - datalog_owl_rl                             31 ms
ok 49        - datalog_owl_rl_deletion                    98 ms
ok 50        - datalog_parallel                          241 ms
ok 51        - datalog_parallel_rollback                  38 ms
ok 52        - datalog_plan_cache                         28 ms
ok 53        - datalog_rdfs                               18 ms
ok 54        - datalog_rule_chain                         31 ms
ok 55        - datalog_sameas                             33 ms
ok 56        - datalog_seminaive                         158 ms
ok 57        - datalog_sequence_batch                     20 ms
ok 58        - datalog_sparql_cache                       29 ms
ok 59        - datalog_subsumption                       114 ms
ok 60        - datalog_tabling                            40 ms
ok 61        - datalog_views                              25 ms
ok 62        - datalog_wfs                                51 ms
ok 63        - datalog_wfs_cap                            39 ms
ok 64        - deduplication                             150 ms
ok 65        - describe_views                             18 ms
not ok 66    - diagnostic_report                          18 ms
ok 67        - dictionary                                 13 ms
ok 68        - dictionary_nfc_normalization               12 ms
ok 69        - dictionary_properties                      19 ms
ok 70        - dictionary_rollback                        22 ms
ok 71        - error_paths                               171 ms
ok 72        - explain_sparql                             77 ms
ok 73        - export_jsonld_node                         36 ms
ok 74        - export_ntriples                           186 ms
ok 75        - export_roundtrip                          266 ms
ok 76        - extvp                                      26 ms
ok 77        - feature_status                             14 ms
ok 78        - federation_cache                          470 ms
ok 79        - federation_planner                        212 ms
ok 80        - federation_ssrf_policy                     13 ms
ok 81        - fts_search                                 24 ms
ok 82        - fuzz_integration                           11 ms
ok 83        - geosparql                                  21 ms
ok 84        - graph_delete                               61 ms
ok 85        - graph_rls                                  32 ms
ok 86        - graphrag_crud                              36 ms
ok 87        - graphrag_enrichment                        33 ms
ok 88        - graphrag_export                            41 ms
ok 89        - graphrag_ontology                          45 ms
ok 90        - graphrag_shacl                             26 ms
ok 91        - hll_accuracy                               52 ms
